order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
6042,34,1,Donut Box,2025-04-15,16:59:42,Completed,244.00
6043,17,8,Paneer Butter Masala,2025-04-06,11:17:18,Completed,377.00
6044,14,44,Thai Fried Rice,2025-04-20,15:32:31,Completed,243.00
6045,6,41,Pizza Margherita,2025-04-17,15:02:00,Completed,513.00
6046,17,11,Seekh Kebab,2025-02-26,20:35:00,Completed,338.00
6047,3,24,BBQ Chicken Platter,2025-03-12,11:27:08,Completed,543.00
6048,3,23,Grilled Steak,2025-03-29,14:42:06,Completed,753.00
6049,27,40,Seekh Kebab,2025-01-20,14:55:10,Cancelled,345.00
6050,27,2,Cheese Burger,2025-04-05,17:50:59,Completed,283.00
6051,18,11,Butter Chicken,2025-01-14,19:55:02,Pending,406.00
6052,13,30,Veg Chowmein,2025-02-09,14:14:01,Completed,312.00
6053,22,18,Masala Dosa,2025-04-09,15:22:41,Completed,317.00
6054,22,2,Paneer Butter Masala,2025-04-23,15:11:37,Cancelled,357.00
6055,3,7,Avocado Salad,2025-02-25,18:46:50,Completed,345.00
6056,33,8,Pasta Alfredo,2025-04-26,13:16:02,Completed,280.00
6057,34,35,Donut Box,2025-04-03,13:23:27,Completed,294.00
6058,21,43,Paneer Butter Masala,2025-04-03,16:32:19,Completed,373.00
6059,26,45,Pad Thai,2025-03-12,11:12:26,Completed,397.00
6060,12,40,BBQ Chicken Platter,2025-02-08,19:35:53,Completed,523.00
6061,14,28,BBQ Chicken Platter,2025-03-19,17:29:28,Completed,504.00
6062,33,31,Seekh Kebab,2025-01-22,09:18:32,Completed,458.00
6063,22,6,Hakka Noodles,2025-01-31,16:14:51,Completed,226.00
6064,3,16,Cappuccino,2025-03-20,09:29:26,Pending,297.00
6065,13,46,Butter Chicken,2025-02-19,22:25:15,Completed,351.00
6066,7,50,Pizza Margherita,2025-01-29,12:51:44,Completed,492.00
6067,16,8,Hot Pot Combo,2025-01-18,21:42:33,Cancelled,812.00
6068,21,49,Hot Pot Combo,2025-03-20,23:27:53,Cancelled,774.00
6069,11,48,Cappuccino,2025-02-27,15:48:15,Pending,220.00
6070,34,32,Thai Fried Rice,2025-01-31,15:28:04,Completed,290.00
6071,18,22,Ramen Bowl,2025-04-25,09:08:09,Completed,479.00
6072,14,5,Pizza Margherita,2025-02-22,17:34:29,Completed,532.00
6073,27,25,Hakka Noodles,2025-03-16,07:54:56,Completed,317.00
6074,31,1,Veg Chowmein,2025-02-08,19:54:57,Cancelled,317.00
6075,15,32,Fish Fry,2025-02-04,20:31:01,Completed,583.00
6076,11,30,Chicken Shawarma,2025-03-21,07:58:25,Completed,236.00
6077,6,42,Pizza Margherita,2025-01-18,21:11:03,Completed,563.00
6078,14,30,Ramen Bowl,2025-02-13,19:17:48,Cancelled,547.00
6079,17,6,Cappuccino,2025-01-03,08:22:14,Completed,160.00
6080,2,16,Grilled Steak,2025-04-18,07:39:09,Completed,731.00
6081,8,37,Grilled Steak,2025-03-01,15:49:23,Completed,765.00
6082,8,50,Cheese Burger,2025-02-09,10:37:01,Cancelled,367.00
6083,25,26,Butter Chicken,2025-01-26,09:37:44,Pending,412.00
6084,7,45,Hakka Noodles,2025-02-08,10:50:36,Completed,308.00
6085,28,43,Veg Chowmein,2025-01-09,23:41:21,Completed,317.00
6086,32,7,Pizza Margherita,2025-02-16,21:45:09,Completed,613.00
6087,18,40,Falafel Wrap,2025-04-10,22:29:27,Pending,351.00
6088,18,21,Fish Fry,2025-04-17,09:17:56,Completed,598.00
6089,25,22,Chicken Biryani,2025-03-05,17:11:31,Completed,406.00
6090,22,18,Avocado Salad,2025-03-31,15:35:00,Completed,238.00
6091,6,16,Seekh Kebab,2025-02-22,22:35:48,Completed,421.00
6092,32,29,Chicken Biryani,2025-01-12,16:14:25,Completed,418.00
6093,24,31,Falafel Wrap,2025-03-09,18:27:47,Completed,290.00
6094,30,18,Pad Thai,2025-02-02,14:07:46,Completed,330.00
6095,12,13,Grilled Steak,2025-04-05,22:17:46,Completed,744.00
6096,19,7,Grilled Steak,2025-02-07,14:23:11,Completed,746.00
6097,9,18,Mutton Biryani,2025-01-07,16:44:08,Completed,505.00
6098,7,1,BBQ Chicken Platter,2025-02-06,22:30:28,Completed,463.00
6099,17,31,Paneer Butter Masala,2025-04-16,09:25:31,Completed,303.00
6100,10,10,BBQ Chicken Platter,2025-02-08,09:15:07,Completed,556.00
6101,15,50,Chocolate Sundae,2025-02-18,21:58:28,Completed,270.00
6102,28,20,BBQ Chicken Platter,2025-03-21,08:39:47,Completed,503.00
6103,14,17,Donut Box,2025-01-11,12:15:11,Completed,250.00
6104,1,27,Hot Pot Combo,2025-03-30,22:18:02,Completed,732.00
6105,30,5,Donut Box,2025-01-30,15:50:50,Completed,260.00
6106,28,8,Falafel Wrap,2025-01-29,11:58:17,Pending,218.00
6107,4,11,Pad Thai,2025-03-18,16:28:07,Completed,377.00
6108,26,18,Chocolate Sundae,2025-03-11,22:28:05,Completed,230.00
6109,21,39,Chicken Momos,2025-01-04,09:14:43,Pending,347.00
6110,2,49,Donut Box,2025-04-16,15:36:02,Completed,254.00
6111,31,34,Thai Fried Rice,2025-02-26,15:11:37,Completed,355.00
6112,6,31,Veg Chowmein,2025-02-22,17:20:42,Completed,251.00
6113,22,27,Butter Chicken,2025-03-05,16:42:25,Pending,490.00
6114,3,30,Masala Dosa,2025-02-10,15:20:07,Cancelled,283.00
6115,33,1,Donut Box,2025-04-22,21:26:03,Completed,302.00
6116,32,41,Hot Pot Combo,2025-04-08,08:13:17,Completed,733.00
6117,29,45,Cappuccino,2025-01-16,07:40:38,Completed,190.00
6118,20,36,Chicken Biryani,2025-03-12,20:05:14,Cancelled,369.00
6119,30,8,Thai Fried Rice,2025-04-17,11:31:59,Completed,360.00
6120,18,27,Cappuccino,2025-03-02,14:29:35,Completed,198.00
6121,33,48,Chicken Shawarma,2025-04-21,09:17:49,Completed,336.00
6122,22,33,Chicken Momos,2025-04-16,07:18:46,Completed,350.00
6123,32,10,Hot Pot Combo,2025-03-10,22:22:21,Completed,799.00
6124,25,30,Ramen Bowl,2025-04-22,13:44:15,Completed,499.00
6125,27,3,Ramen Bowl,2025-04-06,22:45:58,Pending,538.00
6126,10,32,Mutton Biryani,2025-01-17,23:37:21,Pending,492.00
6127,7,34,Hot Pot Combo,2025-01-02,11:26:55,Completed,699.00
6128,5,31,Chicken Momos,2025-02-13,19:41:05,Pending,336.00
6129,25,21,Thai Fried Rice,2025-04-02,22:55:34,Completed,247.00
6130,16,41,Donut Box,2025-04-28,16:14:47,Completed,235.00
6131,7,29,Cheese Burger,2025-03-30,16:57:01,Completed,234.00
6132,19,23,Veg Chowmein,2025-02-25,11:15:33,Completed,256.00
6133,11,12,Masala Dosa,2025-03-20,19:39:43,Completed,329.00
6134,10,15,Hot Pot Combo,2025-03-23,15:29:16,Completed,779.00
6135,19,44,Falafel Wrap,2025-01-21,09:28:22,Cancelled,276.00
6136,28,45,Chicken Momos,2025-02-28,16:12:24,Pending,227.00
6137,16,25,BBQ Chicken Platter,2025-02-15,16:44:18,Completed,551.00
6138,18,1,BBQ Chicken Platter,2025-04-21,08:58:38,Completed,523.00
6139,15,39,Veg Chowmein,2025-01-29,13:39:16,Completed,245.00
6140,7,41,Thai Fried Rice,2025-01-06,16:50:28,Completed,323.00
6141,9,6,Pad Thai,2025-02-11,20:11:12,Completed,438.00
6142,24,34,Chocolate Sundae,2025-04-27,15:53:10,Completed,243.00
6143,19,48,Ramen Bowl,2025-04-13,10:29:04,Completed,497.00
6144,26,36,Veg Chowmein,2025-01-12,19:00:16,Completed,326.00
6145,24,44,Seekh Kebab,2025-03-28,15:37:24,Pending,395.00
6146,7,44,Fish Fry,2025-03-02,07:39:56,Cancelled,563.00
6147,15,42,Masala Dosa,2025-03-23,21:58:44,Completed,284.00
6148,8,9,Mutton Biryani,2025-01-05,16:31:07,Completed,517.00
6149,9,25,Hot Pot Combo,2025-02-17,20:37:47,Completed,766.00
6150,7,32,Avocado Salad,2025-02-22,15:02:44,Completed,303.00
6151,29,16,Veg Chowmein,2025-01-13,18:34:57,Cancelled,301.00
6152,4,26,Chicken Momos,2025-01-25,10:54:52,Completed,254.00
6153,2,4,Ramen Bowl,2025-02-01,11:50:36,Completed,581.00
6154,14,38,Grilled Steak,2025-04-15,14:21:49,Completed,762.00
6155,1,18,Chicken Shawarma,2025-01-17,15:51:11,Completed,236.00
6156,9,1,Veg Chowmein,2025-04-12,14:37:20,Completed,277.00
6157,4,9,Seekh Kebab,2025-02-23,23:07:47,Completed,414.00
6158,24,33,BBQ Chicken Platter,2025-01-14,21:32:14,Cancelled,461.00
6159,34,20,Hot Pot Combo,2025-03-24,07:03:30,Pending,769.00
6160,7,32,Butter Chicken,2025-04-27,21:04:57,Completed,505.00
6161,10,5,Chicken Shawarma,2025-02-05,17:24:38,Completed,346.00
6162,33,39,Pizza Margherita,2025-01-13,10:54:41,Completed,621.00
6163,14,28,Hot Pot Combo,2025-04-24,14:26:21,Pending,762.00
6164,27,47,Paneer Butter Masala,2025-02-10,20:20:42,Completed,329.00
6165,31,5,Masala Dosa,2025-04-17,09:05:27,Completed,275.00
6166,9,36,Mutton Biryani,2025-03-17,17:42:07,Completed,488.00
6167,4,19,Avocado Salad,2025-02-09,18:06:36,Completed,229.00
6168,31,15,Paneer Butter Masala,2025-02-14,18:07:48,Completed,347.00
6169,28,36,Hakka Noodles,2025-04-15,07:38:59,Completed,288.00
6170,2,12,Chicken Momos,2025-03-31,16:58:21,Completed,246.00
6171,10,37,Donut Box,2025-02-21,09:09:47,Completed,217.00
6172,6,48,Chocolate Sundae,2025-01-28,19:26:29,Completed,214.00
6173,20,47,Ramen Bowl,2025-04-10,09:56:03,Completed,598.00
6174,4,44,Masala Dosa,2025-02-04,21:42:27,Completed,293.00
6175,27,18,Grilled Steak,2025-04-07,23:07:22,Completed,682.00
6176,32,34,Donut Box,2025-02-09,08:14:25,Cancelled,224.00
6177,1,14,Pad Thai,2025-01-28,11:48:16,Completed,330.00
6178,1,32,Seekh Kebab,2025-02-25,12:08:24,Completed,358.00
6179,33,36,Donut Box,2025-04-14,18:04:25,Pending,220.00
6180,28,2,Hot Pot Combo,2025-04-28,09:55:20,Completed,806.00
6181,26,46,Thai Fried Rice,2025-02-23,16:07:25,Completed,313.00
6182,11,40,Hot Pot Combo,2025-04-17,18:05:27,Pending,722.00
6183,28,38,Pasta Alfredo,2025-03-09,09:25:55,Completed,366.00
6184,15,22,Hakka Noodles,2025-01-22,09:32:40,Completed,350.00
6185,13,50,Veg Chowmein,2025-02-14,11:15:06,Completed,260.00
6186,12,39,Chicken Shawarma,2025-04-08,09:11:49,Completed,348.00
6187,29,44,BBQ Chicken Platter,2025-03-24,17:55:40,Completed,562.00
6188,5,31,Hot Pot Combo,2025-03-22,16:50:17,Completed,750.00
6189,33,5,Pad Thai,2025-03-01,21:02:03,Completed,373.00
6190,5,42,Masala Dosa,2025-03-20,23:24:29,Completed,190.00
6191,29,37,Thai Fried Rice,2025-01-25,17:38:30,Completed,245.00
6192,29,7,Ramen Bowl,2025-04-02,09:32:41,Completed,503.00
6193,29,29,Chocolate Sundae,2025-03-08,12:23:23,Cancelled,219.00
6194,27,50,Ramen Bowl,2025-03-28,08:50:40,Completed,456.00
6195,22,7,Falafel Wrap,2025-03-28,19:18:16,Completed,354.00
6196,10,22,Masala Dosa,2025-03-16,11:58:22,Completed,280.00
6197,9,39,Butter Chicken,2025-01-11,16:35:24,Completed,434.00
6198,9,43,Butter Chicken,2025-04-17,23:05:41,Completed,480.00
6199,24,2,Veg Chowmein,2025-02-09,12:13:21,Cancelled,334.00
6200,13,15,Chicken Shawarma,2025-01-20,09:18:54,Completed,359.00
6201,34,3,Donut Box,2025-02-13,11:38:24,Completed,256.00
6202,11,47,Hot Pot Combo,2025-01-06,20:23:43,Completed,773.00
6203,19,49,Seekh Kebab,2025-04-11,21:14:34,Completed,420.00
6204,13,24,Donut Box,2025-03-15,21:29:49,Completed,307.00
6205,33,34,Pizza Margherita,2025-01-21,13:51:38,Completed,544.00
6206,4,42,Cappuccino,2025-04-22,18:35:59,Completed,282.00
6207,8,19,Masala Dosa,2025-04-08,12:17:28,Cancelled,217.00
6208,28,6,Fish Fry,2025-04-15,21:56:22,Cancelled,586.00
6209,4,26,Chocolate Sundae,2025-02-17,14:24:05,Completed,127.00
6210,21,7,Butter Chicken,2025-03-25,17:50:09,Completed,423.00
6211,31,45,Chicken Shawarma,2025-04-08,22:28:39,Completed,250.00
6212,2,17,Grilled Steak,2025-04-17,11:35:46,Completed,718.00
6213,8,50,Pad Thai,2025-01-31,16:07:03,Completed,459.00
6214,30,5,Paneer Butter Masala,2025-04-18,22:38:34,Completed,421.00
6215,16,46,Chicken Shawarma,2025-02-07,20:00:39,Completed,376.00
6216,27,12,Donut Box,2025-03-27,09:33:23,Completed,344.00
6217,33,33,Falafel Wrap,2025-01-03,19:55:30,Completed,299.00
6218,24,17,Seekh Kebab,2025-01-03,18:50:04,Completed,460.00
6219,7,50,BBQ Chicken Platter,2025-04-05,17:08:02,Completed,536.00
6220,12,50,Donut Box,2025-03-01,22:40:11,Pending,226.00
6221,30,3,Pad Thai,2025-01-26,08:50:12,Pending,380.00
6222,20,33,Pasta Alfredo,2025-04-15,22:16:02,Completed,328.00
6223,19,23,Hakka Noodles,2025-01-07,17:17:07,Completed,331.00
6224,26,48,Hot Pot Combo,2025-04-25,19:21:11,Completed,787.00
6225,24,34,Chicken Momos,2025-04-13,09:46:27,Completed,354.00
6226,12,35,Pad Thai,2025-02-11,10:05:20,Completed,378.00
6227,29,39,Butter Chicken,2025-02-24,12:44:28,Completed,360.00
6228,23,40,Pizza Margherita,2025-02-05,08:04:42,Completed,573.00
6229,33,48,Donut Box,2025-01-21,07:09:54,Completed,322.00
6230,3,9,Masala Dosa,2025-01-31,18:23:24,Cancelled,188.00
6231,10,44,Hot Pot Combo,2025-02-17,18:28:48,Completed,695.00
6232,34,24,Pasta Alfredo,2025-02-10,15:15:07,Completed,327.00
6233,32,34,Pasta Alfredo,2025-04-27,10:16:49,Completed,394.00
6234,14,40,Pad Thai,2025-03-30,22:12:07,Completed,318.00
6235,29,12,Butter Chicken,2025-02-26,09:51:43,Cancelled,431.00
6236,23,46,Masala Dosa,2025-03-12,16:57:19,Pending,224.00
6237,24,33,Fish Fry,2025-01-16,13:50:08,Completed,606.00
6238,2,24,Falafel Wrap,2025-03-15,18:29:51,Cancelled,233.00
6239,6,5,Pad Thai,2025-02-20,22:33:26,Completed,447.00
6240,5,9,Ramen Bowl,2025-03-24,09:28:29,Completed,528.00
6241,9,50,Falafel Wrap,2025-03-23,12:49:08,Completed,214.00
6242,8,34,Chicken Shawarma,2025-02-08,12:10:20,Cancelled,287.00
6243,23,34,Pad Thai,2025-04-19,09:16:12,Completed,441.00
6244,18,9,Thai Fried Rice,2025-02-08,09:32:41,Completed,378.00
6245,10,11,Donut Box,2025-03-21,17:53:59,Completed,217.00
6246,6,3,Thai Fried Rice,2025-04-09,15:41:13,Completed,336.00
6247,2,32,Thai Fried Rice,2025-03-11,16:41:19,Completed,333.00
6248,20,30,Masala Dosa,2025-03-30,08:10:28,Completed,298.00
6249,14,22,Avocado Salad,2025-01-19,17:55:45,Completed,278.00
6250,26,9,Hakka Noodles,2025-02-17,23:35:06,Completed,339.00
6251,8,18,Hot Pot Combo,2025-02-01,11:06:03,Completed,758.00
6252,27,16,Cheese Burger,2025-04-15,17:59:36,Completed,268.00
6253,11,32,Chocolate Sundae,2025-03-01,22:56:19,Completed,143.00
6254,26,33,Hot Pot Combo,2025-01-31,13:37:22,Completed,732.00
6255,32,39,Thai Fried Rice,2025-03-28,22:18:34,Completed,257.00
6256,28,9,Chicken Momos,2025-04-04,18:48:25,Completed,302.00
6257,4,37,Falafel Wrap,2025-01-25,18:35:18,Completed,329.00
6258,29,49,Falafel Wrap,2025-02-05,10:08:06,Completed,286.00
6259,24,49,Chicken Shawarma,2025-01-26,23:25:32,Completed,239.00
6260,9,46,Ramen Bowl,2025-04-13,22:33:29,Completed,571.00
6261,9,21,Avocado Salad,2025-02-10,12:25:39,Completed,266.00
6262,22,33,Chocolate Sundae,2025-03-10,22:45:36,Completed,124.00
6263,24,22,Donut Box,2025-01-15,20:37:19,Completed,216.00
6264,31,17,Thai Fried Rice,2025-04-11,14:46:03,Completed,273.00
6265,34,41,Seekh Kebab,2025-03-21,19:09:52,Completed,308.00
6266,8,13,Chicken Biryani,2025-02-26,17:26:09,Completed,392.00
6267,27,33,Hakka Noodles,2025-03-20,22:55:54,Completed,235.00
6268,9,34,Grilled Steak,2025-03-13,17:42:30,Completed,690.00
6269,12,30,Falafel Wrap,2025-02-13,18:43:49,Pending,267.00
6270,31,13,Fish Fry,2025-02-05,16:14:19,Completed,533.00
6271,32,21,Cappuccino,2025-02-14,15:18:07,Completed,289.00
6272,25,26,Veg Chowmein,2025-04-09,11:18:02,Completed,230.00
6273,23,29,Thai Fried Rice,2025-02-02,22:13:12,Pending,299.00
6274,18,9,Paneer Butter Masala,2025-03-20,14:15:03,Completed,425.00
6275,15,41,Fish Fry,2025-01-07,10:26:21,Completed,505.00
6276,9,1,Falafel Wrap,2025-04-29,12:26:41,Cancelled,321.00
6277,31,42,Grilled Steak,2025-04-07,16:20:18,Completed,632.00
6278,15,35,Seekh Kebab,2025-04-03,08:58:58,Completed,345.00
6279,3,26,Cappuccino,2025-01-24,16:56:02,Completed,295.00
6280,7,22,Pad Thai,2025-02-28,23:31:56,Cancelled,429.00
6281,30,18,Grilled Steak,2025-04-14,10:21:10,Completed,675.00
6282,12,1,Seekh Kebab,2025-02-13,16:36:43,Completed,344.00
6283,26,28,Chocolate Sundae,2025-02-11,09:25:42,Completed,155.00
6284,31,21,Fish Fry,2025-01-01,15:24:15,Completed,548.00
6285,22,20,BBQ Chicken Platter,2025-04-03,07:16:41,Completed,510.00
6286,4,43,Paneer Butter Masala,2025-03-01,16:10:25,Completed,369.00
6287,8,41,Pad Thai,2025-02-17,14:14:08,Completed,416.00
6288,24,27,Butter Chicken,2025-03-12,22:48:34,Pending,405.00
6289,16,44,Hakka Noodles,2025-03-18,09:33:28,Completed,312.00
6290,5,37,Paneer Butter Masala,2025-01-08,23:12:36,Completed,332.00
6291,21,34,Hot Pot Combo,2025-01-15,13:45:37,Completed,790.00
6292,29,4,Hot Pot Combo,2025-01-17,23:26:29,Completed,803.00
6293,30,44,Pad Thai,2025-04-03,07:25:16,Pending,355.00
6294,5,3,Pizza Margherita,2025-02-14,09:34:03,Cancelled,497.00
6295,31,3,Pad Thai,2025-02-22,12:49:08,Completed,407.00
6296,24,25,Hot Pot Combo,2025-04-22,19:24:05,Completed,798.00
6297,9,42,Veg Chowmein,2025-01-16,12:34:25,Completed,267.00
6298,1,49,Chicken Biryani,2025-02-08,21:43:46,Completed,476.00
6299,25,15,Fish Fry,2025-02-28,18:09:17,Completed,508.00
6300,3,43,Pizza Margherita,2025-03-20,07:15:13,Completed,632.00
6301,3,29,Avocado Salad,2025-03-28,08:15:47,Completed,302.00
6302,15,35,Grilled Steak,2025-04-07,08:08:32,Cancelled,669.00
6303,21,37,Avocado Salad,2025-04-09,17:15:19,Pending,323.00
6304,15,27,Pad Thai,2025-02-05,08:35:37,Pending,344.00
6305,28,36,Cappuccino,2025-01-07,18:41:42,Completed,284.00
6306,21,45,Pizza Margherita,2025-02-22,11:19:24,Completed,617.00
6307,31,16,Fish Fry,2025-02-08,11:51:29,Cancelled,623.00
6308,27,27,Falafel Wrap,2025-03-09,11:24:15,Completed,284.00
6309,6,29,Veg Chowmein,2025-01-12,13:03:17,Completed,364.00
6310,3,5,Grilled Steak,2025-04-13,13:30:13,Pending,695.00
6311,20,1,Grilled Steak,2025-04-30,13:47:07,Completed,732.00
6312,16,45,Avocado Salad,2025-04-01,13:25:58,Completed,272.00
6313,19,25,Hot Pot Combo,2025-03-10,18:19:16,Completed,787.00
6314,30,7,Seekh Kebab,2025-03-02,17:58:13,Completed,405.00
6315,3,37,Fish Fry,2025-04-05,11:01:16,Completed,629.00
6316,27,19,Chicken Shawarma,2025-01-26,17:14:24,Completed,292.00
6317,32,36,Thai Fried Rice,2025-03-29,17:16:48,Pending,355.00
6318,30,11,Seekh Kebab,2025-04-12,18:10:08,Completed,425.00
6319,12,35,Thai Fried Rice,2025-01-08,23:02:53,Pending,242.00
6320,1,27,Chicken Shawarma,2025-04-18,14:04:45,Completed,285.00
6321,33,30,Veg Chowmein,2025-01-08,22:42:31,Completed,346.00
6322,27,1,Chicken Biryani,2025-03-09,15:34:18,Completed,450.00
6323,12,7,Paneer Butter Masala,2025-03-09,11:15:12,Completed,354.00
6324,23,18,Pasta Alfredo,2025-01-11,18:25:29,Completed,337.00
6325,20,44,Masala Dosa,2025-03-25,08:05:25,Completed,321.00
6326,31,4,Thai Fried Rice,2025-01-02,12:05:31,Pending,314.00
6327,7,34,Mutton Biryani,2025-01-30,13:57:55,Completed,525.00
6328,31,18,Mutton Biryani,2025-04-29,09:43:59,Completed,519.00
6329,3,12,Ramen Bowl,2025-01-03,13:37:09,Completed,541.00
6330,5,20,Cheese Burger,2025-03-14,14:36:53,Pending,358.00
6331,22,25,Hakka Noodles,2025-04-05,11:50:44,Completed,348.00
6332,23,4,Paneer Butter Masala,2025-02-25,14:53:04,Completed,447.00
6333,26,50,Ramen Bowl,2025-01-04,15:50:28,Completed,531.00
6334,25,28,Cheese Burger,2025-03-29,19:05:49,Completed,283.00
6335,5,6,Chicken Momos,2025-01-20,19:45:50,Completed,299.00
6336,21,24,Paneer Butter Masala,2025-01-12,07:19:28,Completed,359.00
6337,7,9,Masala Dosa,2025-01-24,20:28:35,Completed,284.00
6338,7,2,Masala Dosa,2025-02-15,09:38:38,Completed,278.00
6339,1,19,Pizza Margherita,2025-02-19,09:46:57,Completed,542.00
6340,34,11,Donut Box,2025-02-18,12:08:17,Completed,336.00
6341,10,5,Cheese Burger,2025-02-25,15:26:19,Completed,239.00
6342,24,17,Fish Fry,2025-04-03,22:38:39,Completed,507.00
6343,9,20,Chicken Biryani,2025-02-20,17:53:39,Completed,424.00
6344,29,22,Pizza Margherita,2025-04-15,11:19:20,Completed,531.00
6345,31,21,Cheese Burger,2025-02-20,17:18:47,Completed,345.00
6346,16,21,Pasta Alfredo,2025-02-05,19:23:07,Cancelled,331.00
6347,12,44,Hakka Noodles,2025-03-12,07:46:29,Cancelled,273.00
6348,29,19,Butter Chicken,2025-01-09,20:43:31,Completed,427.00
6349,16,17,Donut Box,2025-01-20,20:50:24,Completed,363.00
6350,31,38,Pasta Alfredo,2025-03-10,23:59:58,Pending,387.00
6351,3,24,Butter Chicken,2025-04-25,09:06:49,Completed,440.00
6352,11,42,Avocado Salad,2025-01-06,19:48:21,Cancelled,300.00
6353,7,1,Paneer Butter Masala,2025-02-03,14:32:47,Completed,438.00
6354,15,29,Veg Chowmein,2025-02-20,21:49:43,Completed,338.00
6355,10,23,Chicken Biryani,2025-03-03,10:18:26,Cancelled,361.00
6356,8,47,Chicken Shawarma,2025-02-14,16:21:29,Completed,363.00
6357,31,23,Cappuccino,2025-01-13,21:46:44,Completed,167.00
6358,20,3,Butter Chicken,2025-01-15,07:54:21,Completed,392.00
6359,16,34,Cheese Burger,2025-03-12,12:21:35,Completed,338.00
6360,15,26,Thai Fried Rice,2025-01-24,12:40:42,Completed,237.00
6361,13,29,BBQ Chicken Platter,2025-02-24,19:00:45,Completed,521.00
6362,5,37,Paneer Butter Masala,2025-04-13,12:23:20,Completed,319.00
6363,17,43,Cappuccino,2025-03-09,17:38:24,Completed,300.00
6364,8,23,Veg Chowmein,2025-04-19,21:39:11,Pending,286.00
6365,6,44,Chicken Shawarma,2025-02-10,10:15:19,Completed,325.00
6366,10,33,Pasta Alfredo,2025-02-23,11:36:24,Completed,404.00
6367,12,36,Cheese Burger,2025-03-04,16:08:11,Completed,335.00
6368,4,23,Chicken Biryani,2025-03-04,11:12:52,Completed,483.00
6369,33,42,Cappuccino,2025-02-22,22:26:45,Pending,275.00
6370,11,6,BBQ Chicken Platter,2025-01-04,14:18:02,Completed,587.00
6371,19,11,Hakka Noodles,2025-02-28,22:35:32,Completed,249.00
6372,18,50,Falafel Wrap,2025-04-16,18:34:52,Completed,312.00
6373,14,28,Paneer Butter Masala,2025-04-05,14:19:55,Cancelled,405.00
6374,17,23,Masala Dosa,2025-02-26,10:49:51,Completed,330.00
6375,23,46,Avocado Salad,2025-03-22,20:10:39,Completed,242.00
6376,14,4,BBQ Chicken Platter,2025-02-14,15:38:34,Completed,524.00
